(989.000000, 327.000000)
(1486.000000, 410.000000)
(992.000000, 322.000000)
(994.000000, 322.000000)
(1009.000000, 245.000000)
(1484.000000, 285.000000)
(981.000000, 330.000000)
(979.000000, 330.000000)
(1004.000000, 245.000000)
(1483.000000, 409.000000)
(1491.000000, 281.000000)
(1180.000000, 326.000000)
(1489.000000, 413.000000)
(972.000000, 319.000000)
(1694.000000, 385.000000)
(970.000000, 568.000000)
(1067.000000, 497.000000)
(1458.000000, 147.000000)
(1070.000000, 566.000000)
(1458.000000, 260.000000)
(1487.000000, 410.000000)
(1488.000000, 410.000000)
(1301.000000, 85.000000)
(1486.000000, 408.000000)
(1325.000000, 62.000000)
(1068.000000, 566.000000)
(1494.000000, 410.000000)
(1866.000000, 436.000000)
(1475.000000, 178.000000)
(1921.000000, 430.000000)
(1069.000000, 551.000000)
(1067.000000, 550.000000)
(1881.000000, 431.000000)
(1326.000000, 119.000000)
(991.000000, 331.000000)
(1066.000000, 554.000000)
(1063.000000, 552.000000)
(1818.000000, 686.000000)
(997.000000, 246.000000)
(1866.000000, 436.000000)
(1662.000000, 512.000000)
(1918.000000, 564.000000)
(1469.000000, 178.000000)
(1007.000000, 245.000000)
(1070.000000, 477.000000)
(1329.000000, 647.000000)
(1863.000000, 441.000000)
(1863.000000, 440.000000)
(1634.000000, 525.000000)
(1862.000000, 440.000000)
(1709.000000, 602.000000)
(1067.000000, 555.000000)
(1866.000000, 435.000000)
(1864.000000, 441.000000)
(1451.000000, -199.000000)
(1867.000000, 442.000000)
(1860.000000, 440.000000)
(1480.000000, 171.000000)
(986.000000, 322.000000)
(1417.000000, 525.000000)
(977.000000, 303.000000)
